"구분,지점코드,숙소명,비교대상자사코드,상권명,,,야호,,,,,,,,,,,,,"
"경쟁사,1000112963,대전 중리 호텔 라움,10039673,대덕구(중리/신탄진),,,,,,,,,,,,,,,,"
"경쟁사,25972,대전 중리 만월 호텔,10039673,대덕구(중리/신탄진),,,,,,,,,,,,,,,,"
"자사,1000109417,노크인 호텔 대전 by 아늑,,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"경쟁사,24916,대전 용전 엑스와이엠,1000109417,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"경쟁사,27378,대전 용전 호텔 가자,1000109417,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"경쟁사,1009175,대전 용전 호텔 박스,1000109417,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"자사,1000112362,아늑호텔 대전 용전 1호점,,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"경쟁사,24317,대전 용전 아이,1000112362,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"경쟁사,1018886,대전 용전 세도나,1000112362,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"경쟁사,3010348,대전 용전 리스보아,1000112362,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"자사,1009172,아늑호텔 대전 용전 2호점,,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"경쟁사,27476,대전 용전 보보스,1009172,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"경쟁사,1009157,대전 용전 룩(LOOK),1009172,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"경쟁사,1009175,대전 용전 호텔 박스,1009172,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"자사,23698,타임터미널 호텔 용전 1호점 by 아늑,,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"경쟁사,24035,대전 용전 디자인 호텔 피아노,23698,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"경쟁사,24673,대전 용전 본(HOTEL BON),23698,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"경쟁사,1019710,대전 용전 KB,23698,동구(용전/복합터미널),,,,,,,,,,,,,,,,"
"자사,10044959,아늑호텔 대전 유성 1호점,,유성구,,,,,,,,,,,,,,,,"
"경쟁사,1009259,대전 유성 호텔 141,10044959,유성구,,,,,,,,,,,,,,,,"
"경쟁사,24135,대전 유성 MAC 호텔,10044959,유성구,,,,,,,,,,,,,,,,"
"경쟁사,1009316,대전 유성 더 샵,10044959,유성구,,,,,,,,,,,,,,,,"
"자사,10044958,아늑호텔 대전 유성 2호점,,유성구,,,,,,,,,,,,,,,,"
"경쟁사,25328,대전 유성 메이호텔,10044958,유성구,,,,,,,,,,,,,,,,"
"경쟁사,28012,대전 유성 탑클라우드 호텔,10044958,유성구,,,,,,,,,,,,,,,,"
"경쟁사,27191,대전 유성 호텔 아트,10044958,유성구,,,,,,,,,,,,,,,,"
"자사,1000105053,워커스 호텔 대전월평 by 아늑,,서구(둔산/용문/월평),,,,,,,,,,,,,,,,"
"경쟁사,1020157,대전 월평 디엠프레스 호텔,1000105053,서구(둔산/용문/월평),,,,,,,,,,,,,,,,"
"경쟁사,25065,대전 월평 컨티뉴 대전점,1000105053,서구(둔산/용문/월평),,,,,,,,,,,,,,,,"
"경쟁사,10040733,대전 브라운도트 월평점,1000105053,서구(둔산/용문/월평),,,,,,,,,,,,,,,,"
"자사,1000105321,소륜 호텔 천안 by 아늑,,천안 동남구,,,,,,,,,,,,,,,,"
"경쟁사,1000111808,천안(신부동) 숲 호텔,1000105321,천안 동남구,,,,,,,,,,,,,,,,"
"경쟁사,1000102246,천안 소담스테이,1000105321,천안 동남구,,,,,,,,,,,,,,,,"
"경쟁사,1000110158,천안 파인 호텔 (HOTEL PINE),1000105321,천안 동남구,,,,,,,,,,,,,,,,"
"자사,10046920,아늑호텔 천안역 1호점,,천안 동남구,,,,,,,,,,,,,,,,"
"경쟁사,3011037,천안 휴 호텔,10046920,천안 동남구,,,,,,,,,,,,,,,,"
"경쟁사,1018942,천안 벨리노,10046920,천안 동남구,,,,,,,,,,,,,,,,"
"경쟁사,3015801,천안 아도라,10046920,천안 동남구,,,,,,,,,,,,,,,,"
"자사,10048575,아늑호텔 천안역 2호점,,천안 서북구,,,,,,,,,,,,,,,,"
"경쟁사,10067448,천안 씨티(CT)모텔,10048575,천안 서북구,,,,,,,,,,,,,,,,"
"경쟁사,1017961,천안 GLORY HOTEL-구 NO.25,10048575,천안 서북구,,,,,,,,,,,,,,,,"
"경쟁사,1000111785,천안 베니키아 호텔,10048575,천안 서북구,,,,,,,,,,,,,,,,"
"자사,25403,요수리구리 아늑료칸 천안점,,천안 서북구,,,,,,,,,,,,,,,,"
"경쟁사,26666,천안 호텔 비지니스,25403,천안 서북구,,,,,,,,,,,,,,,,"
"경쟁사,10045823,천안 앙상블,25403,천안 서북구,,,,,,,,,,,,,,,,"
"경쟁사,26521,천안 호텔 루이스,25403,천안 서북구,,,,,,,,,,,,,,,,"
"자사,28084,아늑호텔 청주우암 1호점,,청주 상당구/ 청원구 (청주국제공항),,,,,,,,,,,,,,,,"
"경쟁사,26397,청주 호텔 본,28084,청주 상당구/ 청원구 (청주국제공항),,,,,,,,,,,,,,,,"
